question,chunk_size,top_source,retrieval_distance,generated_answer,relevance,correctness,completeness,grounding,overall_score
What is the process for submitting an internship task?,200,submission_guidelines.txt,0.7523,6:00 PM IST,3.8,4.5,3.2,5.0,4.12
What happens when an intern takes leave?,200,leave_policy.txt,0.762,they remain responsible for completing all missed technical modules,3.8,4.5,3.2,5.0,4.12
What are the main steps in the training workflow?,200,project_workflow.txt,1.0596,"handle missing values, remove noise, and perform exploratory sanity checks",3.8,4.5,3.2,5.0,4.12
What should an intern complete before submitting a project?,200,submission_guidelines.txt,0.7687,validation steps,3.8,4.5,3.2,5.0,4.12
What are the basic onboarding requirements?,200,onboarding.txt,0.9089,"Python (version 3.10 or higher), Visual Studio Code",3.8,4.5,3.2,5.0,4.12
What is the process for submitting an internship task?,400,submission_guidelines.txt,0.8582,task verification,4.8,4.5,4.6,5.0,4.72
What happens when an intern takes leave?,400,leave_policy.txt,0.7407,they remain responsible for completing all missed technical modules,4.8,4.5,4.6,5.0,4.72
What are the main steps in the training workflow?,400,project_workflow.txt,0.8655,"Implement baseline models, engineer relevant features, and optimize model parameters",4.8,4.5,4.6,5.0,4.72
What should an intern complete before submitting a project?,400,project_workflow.txt,0.8208,the following validation steps,4.8,4.5,4.6,5.0,4.72
What are the basic onboarding requirements?,400,onboarding.txt,1.0772,introductory Python and environment verification test. - Review and acknowledge company information confidentiality and data security rules,4.8,4.5,4.6,5.0,4.72
What is the process for submitting an internship task?,800,submission_guidelines.txt,0.9137,Daily Submission Deadline,4.0,4.5,4.2,5.0,4.42
What happens when an intern takes leave?,800,leave_policy.txt,0.7142,they remain responsible for completing all missed technical modules,4.0,4.5,4.2,5.0,4.42
What are the main steps in the training workflow?,800,project_workflow.txt,0.867,"Implement baseline models, engineer relevant features, and optimize model parameters",4.0,4.5,4.2,5.0,4.42
What should an intern complete before submitting a project?,800,project_workflow.txt,0.7889,validation steps,4.0,4.5,4.2,5.0,4.42
What are the basic onboarding requirements?,800,onboarding.txt,1.0336,- Submit digital identity and internship acceptance verification,4.0,4.5,4.2,5.0,4.42
